"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.521637655125821,0.68562663833748
"majority-vote",1,0.630743487716993,0.773565545369764
"majority-vote",1,0.276151102619218,0.432787468588063
"majority-vote",0.893922589758707,0.532756797981859,0.667624892678553
"majority-vote",1,0.853627594559246,0.921034621047731
"majority-vote",0.963692042743426,0.599082252766019,0.738853718797846
"majority-vote",1,0.371071615021949,0.541286991804595
"majority-vote",0.986095685894988,0.795153519518823,0.880390517888899
"majority-vote",1,0.398594441446232,0.569992886621315
"majority-vote",0.780294144282792,0.65465102295223,0.711971957426998
"majority-vote",1,0.31652869092286,0.480853464273505
"majority-vote",0.955659340659341,0.486904514677986,0.645122010702829
"majority-vote",0.915025889514492,0.72459574236777,0.808752276508258
"majority-vote",1,0.245020484525758,0.393600727973707
"majority-vote",1,0.714303502898552,0.833345439347005
"majority-vote",0.997878554957725,0.11071582645191,0.199317172743199
"majority-vote",1,0.962168172449596,0.980719375596041
"majority-vote",1,0.62393011750919,0.76841991016976
"majority-vote",1,0.475401850425467,0.644437107474649
"majority-vote",1,0.793143616688967,0.884640370472393
"majority-vote",0.932405544377375,0.83969487873759,0.883625047776904
"majority-vote",1,0.45431167612443,0.624778970811975
"majority-vote",1,0.0878331808441768,0.161482812605544
"majority-vote",1,0.848390361848067,0.917977478523341
"majority-vote",0.989015817223199,0.358502478146362,0.526248322740918
"majority-vote",0.975772200772201,0.679184092783297,0.800902065541351
"majority-vote",0.899293989156298,0.926424524193602,0.912657674140176
"majority-vote",0.974878801234024,0.526516282757677,0.683750157487309
"majority-vote",0.964636542239686,0.381247922131983,0.546504082745548
"majority-vote",1,0.364455395894982,0.534213719248662
"majority-vote",0.980629706616378,0.71747898760586,0.828664515426208
"majority-vote",1,0.566005553234461,0.722865320707734
"majority-vote",0.965458603464768,0.6197178498225,0.75488369587003
"majority-vote",0.908537391421584,0.773247338441431,0.835450705808802
"majority-vote",0.987666216997495,0.314829042677915,0.477462021105749
"majority-vote",0.990045027814008,0.201661308140497,0.33507210527173
"majority-vote",0.97245409015025,0.437128775537328,0.603139660734018
"majority-vote",0.966453145806317,0.584429835401128,0.728390290912526
"majority-vote",1,0.342662714974298,0.510422626848407
"majority-vote",1,0.297130350519649,0.45813491358153
"majority-vote",0.983841558152215,0.286398018478212,0.443649021704653
"majority-vote",0.91976346120913,0.552916684275515,0.690649038555706
"majority-vote",0.968513290554221,0.392919864503548,0.55904046332455
"majority-vote",1,0.207095822510703,0.343130708678875
"majority-vote",0.95254333203984,0.710618209959096,0.813985437288396
"majority-vote",0.947473825544135,0.394811811935309,0.5573684875699
"majority-vote",0.997495527728086,0.477779078006256,0.646093265214258
"majority-vote",1,0.0397157617938665,0.0763973448384455
"majority-vote",0.989513174997046,0.398223277696619,0.567899155645074
"majority-vote",1,0.442682511435783,0.61369359914846
"majority-vote",1,0.763095633150621,0.86563158435936
"majority-vote",0.989263604337887,0.0553609347450177,0.104854051951434
"majority-vote",0.975016243688975,0.164900113465127,0.282091380136092
"majority-vote",0.995726673274496,0.425615763602456,0.596333378065101
"majority-vote",0.985492015612153,0.935406469395827,0.959796276727983
"majority-vote",1,0.448708636400208,0.619460152477826
"majority-vote",0.977643946250783,0.889979699214982,0.931754389955403
"majority-vote",0.951041666666667,0.774474474907854,0.853724259843845
"majority-vote",1,0.228300504689184,0.371733958941838
"majority-vote",0.936444597751611,0.785762128665177,0.854511469755154
"majority-vote",1,0.455150282030598,0.625571513336005
"majority-vote",1,0.590304948045045,0.742379565341483
"majority-vote",0.984531886024423,0.600505241070982,0.745997109408503
"majority-vote",1,0.292193443894788,0.452244120685353
"majority-vote",0.996095721857648,0.561628777063846,0.718273382093908
"majority-vote",1,0.538988749593797,0.700445340794152
"majority-vote",1,0.765977876897326,0.867482981432457
"majority-vote",1,0.936245824011552,0.967073304847025
"majority-vote",0.955486851381559,0.196851425270356,0.326447454419429
"majority-vote",0.992105315239068,0.929047576903955,0.959541578315748
"majority-vote",1,0.574567354614487,0.729809814652436
"majority-vote",1,0.483149362768624,0.651518147662107
"majority-vote",1,0.70104218985494,0.824250208532127
"majority-vote",0.895220588235294,0.947030703427454,0.920397111117252
"majority-vote",1,0.839820821748533,0.91293762068676
"majority-vote",1,0.697449932973276,0.821762008322229
"majority-vote",1,0.534970760233918,0.697043584273088
"majority-vote",1,0.696684389966786,0.821230388028058
"majority-vote",0.981841622632601,0.695362530700988,0.81413568420323
"majority-vote",0.979797854811002,0.894068993096996,0.934972388745178
"majority-vote",1,0.4896436716233,0.657397041924427
"majority-vote",0.949451561372627,0.604394305347101,0.738610088924651
"majority-vote",0.962650602409639,0.45914652955981,0.621745076476274
"majority-vote",1,0.794964105860924,0.885771590936224
"majority-vote",0.722547279004983,0.651749728104408,0.685324919137502
"majority-vote",1,0.865495238714949,0.927898630619017
"majority-vote",0.698353270316695,0.917476758358225,0.793057293488299
"majority-vote",1,0.691361371651504,0.817520588135976
"majority-vote",0.975262183127249,0.904943334381219,0.938787811945781
"majority-vote",0.957815571926043,0.629597176712238,0.759774646402398
"majority-vote",1,0.322052022008949,0.487200226084248
"majority-vote",0.977963731994253,0.674839063879936,0.798604807609204
"majority-vote",0.98589554531575,0.0510693480965038,0.0971084809338976
"majority-vote",0.975861581315816,0.23917895064857,0.38419384844721
"majority-vote",0.863056734248192,0.484251986013121,0.62040263128502
"majority-vote",0.995633218982276,0.104900486729861,0.189803199545035
"majority-vote",0.970349441721262,0.512711069668068,0.670921916396594
"majority-vote",0.980285808611989,0.466694796137656,0.632343355681625
"majority-vote",0.896228320892481,0.881075877419591,0.888587507921902
"majority-vote",0.991810399943594,0.823170014041422,0.899655527472526
"majority-vote",0.980490676966808,0.664046957002759,0.791823594620678
"majority-vote",0.810959245302104,0.892006406018453,0.849554236479667
"majority-vote",1,0.784746372099993,0.879392595348586
"majority-vote",1,0.693226235971656,0.818822932511259
"majority-vote",1,0.732865611085628,0.845842408548338
"majority-vote",1,0.71675599475873,0.835012077368003
"majority-vote",1,0.815778441529696,0.898544032544462
"majority-vote",0.93134796857109,0.611185377535319,0.738040783655911
"majority-vote",1,0.969136606876374,0.984326433719302
"majority-vote",1,0.564102935657384,0.721311779164067
"majority-vote",0.948152102091126,0.441822749707869,0.602766544078133
"majority-vote",0.977221321663569,0.57591659439432,0.724723760489306
"majority-vote",1,0.59109294151634,0.743002405570372
"majority-vote",0.974424552429668,0.838073101587171,0.901120070536472
"majority-vote",0.984555984555985,0.484417417478101,0.649346089916681
"majority-vote",1,0.548384526960986,0.708331189588028
"majority-vote",0.814328862779871,0.775023531042082,0.794190178483275
"majority-vote",1,0.753751027676917,0.859587268411028
"majority-vote",0.988915362799411,0.538350587056742,0.697171525578288
"majority-vote",1,0.822055865165792,0.902338815051636
"majority-vote",0.787771762716086,0.463055183277717,0.583265013811614
"majority-vote",0.839020964640355,0.635113513668864,0.722964642283875
"majority-vote",0.882461554520719,0.43359714139865,0.58148289072638
"majority-vote",1,0.410881390771426,0.58244639621587
"majority-vote",0.865255813737005,0.494021337845927,0.62894433881057
"majority-vote",0.994218836029226,0.549929604591468,0.708157787155705
"majority-vote",1,0.353246811901348,0.522073000718955
"majority-vote",1,0.599009250419718,0.749225497304016
"majority-vote",0.899608692342412,0.800790359479499,0.847328122607319
"majority-vote",1,0.662794454333719,0.797205514615816
"majority-vote",1,0.73699893232037,0.84858881442817
"majority-vote",0.996887713163174,0.369252759882944,0.538895591839292
"majority-vote",1,0.706565101400515,0.82805525651575
"majority-vote",0.931084437086093,0.785636463966362,0.852198961820734
"majority-vote",1,0.880269916718802,0.936322927779361
"majority-vote",1,0.99176368100103,0.995864811133201
"majority-vote",1,0.568687833199104,0.725049077532973
"majority-vote",0.994565815162097,0.333070316931758,0.4990228018924
"majority-vote",1,0.922050579832902,0.959444657188015
"majority-vote",1,0.541531997150833,0.702589369733136
"majority-vote",1,0.453976748037648,0.624462184351099
"majority-vote",1,0.583844482217838,0.737249760027307
"majority-vote",0.984733973696454,0.817271786477318,0.893221666295008
"majority-vote",0.937451737451737,0.891255192854425,0.91376995975444
"majority-vote",1,0.411662978145315,0.583231245018794
"majority-vote",0.933587928714421,0.282044746308606,0.433212393712679
"majority-vote",1,0.291301644244774,0.451175208431092
"majority-vote",1,0.861229612372776,0.925441553957272
"majority-vote",1,0.84541223162506,0.916231308254194
"majority-vote",1,0.806677832141209,0.892995771343653
"majority-vote",1,0.856020182847244,0.922425511056737
"majority-vote",1,0.713972912016583,0.833120415160534
"majority-vote",1,0.836858650863987,0.91118459275063
"majority-vote",0.982811597996292,0.209488764723323,0.345362618443514
"majority-vote",0.895421540539396,0.82571549001493,0.859156967738105
