"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.888454542986671,0.641585008015158,0.745103765075842
"majority-vote",0.952170601941388,0.559029952077618,0.704462269494796
"majority-vote",0.752680970815916,0.558740854073397,0.641370458378599
"majority-vote",0.71046897333373,0.933893931419079,0.807002713014443
"majority-vote",0.985164555439632,0.779281725047171,0.870211513616062
"majority-vote",0.860949360887028,0.954275428913119,0.905213310494068
"majority-vote",0.991862178497399,0.688475970239237,0.812780780104313
"majority-vote",0.921387533179543,0.870759543330287,0.895358420229789
"majority-vote",0.999659103483921,0.681301566652675,0.810333430664811
"majority-vote",0.946946510681639,0.739669415156231,0.830571277088074
"majority-vote",0.943477572276684,0.35130300339718,0.511973242425542
"majority-vote",0.831129838463037,0.923866281109874,0.875047898302086
"majority-vote",0.878115982827882,0.752435188110762,0.810431928170412
"majority-vote",1,0.727838107948956,0.842484147791997
"majority-vote",0.883532671078504,0.702940915301488,0.782958216056846
"majority-vote",0.905603544285329,0.718038690410391,0.800987273026325
"majority-vote",0.658536922257153,0.974623925513286,0.785992195614918
"majority-vote",0.863895731598974,0.735737355266811,0.794682688188539
"majority-vote",1,0.938854768051377,0.968463222229855
"majority-vote",0.995861316371419,0.966762099720851,0.981095985456989
"majority-vote",0.553996017081607,0.929286045679293,0.694164354792487
"majority-vote",1,0.638871751093142,0.779648255779635
"majority-vote",1,0.754798107437299,0.860267747313226
"majority-vote",0.953104678426693,0.858057513305525,0.903087127176058
"majority-vote",0.999598492066024,0.473623121200657,0.642717909507184
"majority-vote",0.589327366176319,0.944047122721993,0.725658093842175
"majority-vote",0.816573974594101,0.893040203922046,0.853097029672375
"majority-vote",0.959813479855632,0.497464140861476,0.655294202498886
"majority-vote",0.947051761524436,0.417214350160372,0.579247086574177
"majority-vote",0.917552806092236,0.646007100165993,0.758200085766232
"majority-vote",0.971078296602145,0.905330621504491,0.937052589453085
"majority-vote",0.972812819618126,0.608106814111897,0.748392381046505
"majority-vote",0.774600724206455,0.989387078515404,0.868917513325212
"majority-vote",0.882668416820161,0.689274960497833,0.774075258581436
"majority-vote",0.974070671109898,0.664175577927961,0.789812827353701
"majority-vote",1,0.432332808782649,0.603676472579152
"majority-vote",0.977209481630992,0.411854744149065,0.579481284691726
"majority-vote",0.770848275114414,0.770102156560618,0.770475035204549
"majority-vote",1,0.62912384014486,0.772346244824358
"majority-vote",0.999353674754046,0.685873494783104,0.813457330641245
"majority-vote",0.996449683473468,0.453590243168305,0.623403322801567
"majority-vote",0.738265815427481,0.66878211884185,0.701808324058969
"majority-vote",0.705094894653159,0.697611593812829,0.701333282896846
"majority-vote",0.996083196813349,0.916314960491201,0.954535468095644
"majority-vote",0.208415481408602,0.905078907643327,0.338811687070761
"majority-vote",0.862105812354391,0.857757584009367,0.859926201498311
"majority-vote",0.738112995778062,0.577783391798747,0.648180866301664
"majority-vote",1,0.971747991384929,0.985671592547064
"majority-vote",0.917368938060094,0.555001046199176,0.691593452484188
"majority-vote",0.738112232223258,0.677164183438376,0.706325861843285
"majority-vote",0.969977234409832,0.965247187076566,0.967606430186813
"majority-vote",1,0.0193166595867177,0.0379011946975332
"majority-vote",1,0.245747267695948,0.394537919638333
"majority-vote",0.953587903073947,0.415241282216103,0.578551462568774
"majority-vote",0.861655918074883,0.846686344605085,0.854105544913083
"majority-vote",0.98407220901125,0.537665548896593,0.69539146500426
"majority-vote",0.944977118489876,0.887746627554325,0.915468304337842
"majority-vote",0.862785472824844,0.792042611222608,0.82590193556508
"majority-vote",0.914277161211125,0.957933274992662,0.935596232510944
