"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.870700847911002,0.540598850855871,0.667044538068272
"majority-vote",1,0.35346750859641,0.522313991804602
"majority-vote",0.775406579688662,0.245734051925865,0.373197960824655
"majority-vote",0.866990194455529,0.526892323481083,0.655450473212354
"majority-vote",0.971355165465269,0.743829215803947,0.842501084881015
"majority-vote",0.928536285433093,0.601959308342103,0.730405317628049
"majority-vote",0.967601740535002,0.298334122315742,0.456055673094915
"majority-vote",0.939256192999126,0.819060851469272,0.875050355231289
"majority-vote",0.978163089856795,0.485052789273218,0.648517750342142
"majority-vote",0.786737330203375,0.696365422826674,0.738797999641366
"majority-vote",1,0.336120350976964,0.503128854719104
"majority-vote",0.957674640452961,0.881555990104847,0.918040186843526
"majority-vote",0.837748481879715,0.871793263836252,0.854431879329054
"majority-vote",1,0.238583697231273,0.385252442389807
"majority-vote",0.826974753904794,0.72340857321394,0.771732533937913
"majority-vote",0.953359407472721,0.23879443139418,0.381925402912968
"majority-vote",0.674880339847526,0.922169856040693,0.779379768330647
"majority-vote",0.960652374234211,0.56454921637421,0.711165721857927
"majority-vote",0.999480959090807,0.724924744579687,0.840345723096278
"majority-vote",0.95522646144423,0.748728391575505,0.839464931597241
"majority-vote",0.718676678392383,0.687984704730616,0.702995857159079
"majority-vote",0.999493691635485,0.358209619386675,0.527402786681848
"majority-vote",1,0.1083633801499,0.195537640616103
"majority-vote",0.987294056848005,0.805931333679508,0.887441389322841
"majority-vote",0.98540561104643,0.232620521892633,0.376388586941784
"majority-vote",0.703531683276035,0.886693848085002,0.784564457294099
"majority-vote",0.868347920799734,0.914142390620303,0.890656896280861
"majority-vote",0.985424869747867,0.375061589582716,0.543327742113409
"majority-vote",0.965663950378964,0.271899602023494,0.424323491568196
"majority-vote",0.995168663580602,0.339339611756208,0.50610423955019
"majority-vote",0.982473732712615,0.692318042174475,0.812261322653442
"majority-vote",0.986395434363608,0.437111566407733,0.605778339240316
"majority-vote",0.951193371701852,0.826008670342167,0.884192065516734
"majority-vote",0.943316310635515,0.695488878310672,0.800663809464664
"majority-vote",0.982822435101273,0.474560668033498,0.640063508842312
"majority-vote",0.941163851760372,0.248621446617797,0.393337383892716
"majority-vote",0.990540460640797,0.501725085510449,0.666073137717799
"majority-vote",0.955809474522337,0.735837687248457,0.83152166607421
"majority-vote",1,0.404146960471446,0.57564766630375
"majority-vote",0.986786433085132,0.342183119340271,0.508155599471018
"majority-vote",0.987006284668957,0.378350114620067,0.547013133171212
"majority-vote",0.925077279872393,0.760398964400895,0.834693230469179
"majority-vote",0.926201703267393,0.613645142581556,0.738202215100751
"majority-vote",0.999868518480074,0.151315270280191,0.262851816704959
"majority-vote",0.961806544232906,0.939500245995744,0.950522545389388
"majority-vote",0.931637893304284,0.718118980646134,0.811061150688185
"majority-vote",0.851511053497414,0.569689359636954,0.682657818429534
"majority-vote",1,0.0411777657280698,0.0790984346448758
"majority-vote",0.91733180760454,0.419278534874316,0.575511836265959
"majority-vote",0.85424781401118,0.461981120520716,0.599662189404169
"majority-vote",1,0.787358318609795,0.881030188979903
"majority-vote",0.879292698696915,0.091216456122217,0.165286362258418
"majority-vote",0.84082215368679,0.20948883397717,0.335410853788714
"majority-vote",0.878593066754408,0.461035534638514,0.604738692260875
"majority-vote",0.845978297533925,0.873262506964979,0.859403903175462
"majority-vote",0.996603956218365,0.383488034661186,0.55385538794725
"majority-vote",0.917724070359561,0.85783275168251,0.88676831379172
"majority-vote",0.796021732895387,0.699256606618892,0.744508150797035
"majority-vote",0.999459581352126,0.214123173633535,0.352687044370683
"majority-vote",0.9273051999561,0.619224014686318,0.742578469672274
"majority-vote",0.921260510054412,0.396268317818065,0.554168295779876
