"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.980519480519481,0.446374244695665,0.613470554662753
"majority-vote",1,0.44552401150768,0.616418693789803
"majority-vote",0.969885773624091,0.309888206051773,0.469701943056584
"majority-vote",0.771895833790896,0.609814046959262,0.68134842023343
"majority-vote",0.978638184245661,0.621277941483026,0.760047738487431
"majority-vote",0.941016382810738,0.6185999991697,0.746481943061172
"majority-vote",1,0.495926987684655,0.663036353735731
"majority-vote",0.88649123024123,0.807971820541342,0.84541227719441
"majority-vote",0.897791543226502,0.594441204865174,0.715282903897963
"majority-vote",0.726868281892386,0.577084915613196,0.64337389090375
"majority-vote",1,0.235476437591124,0.381191304708724
"majority-vote",0.942139175257732,0.473432815017756,0.630189923147562
"majority-vote",0.892207120098024,0.707022587840257,0.788893032451787
"majority-vote",1,0.244616571356557,0.393079406117724
"majority-vote",0.976447337828412,0.734225327554041,0.838187668470231
"majority-vote",0.990131259115216,0.23202651187549,0.375952610709436
"majority-vote",0.799520337635316,0.959808992939428,0.87236289052221
"majority-vote",0.982856158992523,0.549419129769099,0.704834150263295
"majority-vote",1,0.454838930364213,0.625277370396386
"majority-vote",0.989208633093525,0.623420595535452,0.764829291450056
"majority-vote",0.718012170385396,0.806996687659425,0.759908298425292
"majority-vote",0.975055130367103,0.333936146478622,0.497491707696652
"majority-vote",1,0.0802267871864941,0.148536933425709
"majority-vote",0.9789726146869,0.708730459032024,0.822215378274982
"majority-vote",0.912058266379254,0.204453644906538,0.334028925340583
"majority-vote",0.860054347826087,0.603946109693878,0.709598791211835
"majority-vote",0.929750583808403,0.853420926641108,0.889952088320272
"majority-vote",0.972770592239619,0.319134976259257,0.480600327810049
"majority-vote",0.986263736263736,0.219632949210414,0.359261312688183
"majority-vote",0.977789742899448,0.349001836284615,0.514399429610531
"majority-vote",0.940447062736062,0.650167779557594,0.768820159742584
"majority-vote",0.970149253731343,0.467129841034108,0.630616097215045
"majority-vote",0.938114210668558,0.639213075819811,0.760342986783352
"majority-vote",0.885838549403121,0.637854274164034,0.741666425432429
"majority-vote",0.976214424753786,0.422593618590034,0.58984788976523
"majority-vote",0.993640585923544,0.17046848686178,0.291011231037929
"majority-vote",0.991739674593242,0.45619974585819,0.624931376432674
"majority-vote",0.948218448218448,0.551138541067475,0.697098470742811
"majority-vote",0.992535170829745,0.408020819676031,0.578306068025163
"majority-vote",0.992653414001729,0.425351118391391,0.595521706983673
"majority-vote",0.972398685651698,0.38648023733514,0.553121942592212
"majority-vote",0.930263852376223,0.721464458383589,0.812666710422497
"majority-vote",0.883113245298119,0.457499451161653,0.602745037555445
"majority-vote",0.977272727272727,0.131436870946367,0.23171021436141
"majority-vote",0.872906511867577,0.511074723884671,0.644691478475674
"majority-vote",0.910946637426901,0.282941490403639,0.431773452241473
"majority-vote",0.928608115048793,0.461350152879892,0.616440803624544
"majority-vote",1,0.046068753063082,0.0880797804698481
"majority-vote",0.924532393602602,0.36141624901126,0.519680209166157
"majority-vote",0.929201310153691,0.410870496273706,0.569792456806991
"majority-vote",1,0.531802678336292,0.694348803350949
"majority-vote",0.924692534362346,0.123576487494207,0.218017041477072
"majority-vote",0.889338156156486,0.197382152605771,0.323062849274528
"majority-vote",0.979366902419815,0.410920442570296,0.578933387304785
"majority-vote",0.978743921531383,0.917320554748062,0.947037327356308
"majority-vote",1,0.464748397550685,0.634577785956722
"majority-vote",0.976737821565408,0.848039644051189,0.907850310669825
"majority-vote",0.901748159831756,0.635630933768382,0.745657368756777
"majority-vote",0.995426829268293,0.246200930304977,0.394764066004155
"majority-vote",0.916487916487916,0.719013870072161,0.805829170134193
"majority-vote",0.958595501912677,0.622385525261253,0.754741460797252
"majority-vote",0.994523548740416,0.56644634550015,0.721787437126613
"majority-vote",0.941470440657312,0.788657633748931,0.858315474972192
"majority-vote",0.971546961325967,0.567225942073205,0.716267669113646
"majority-vote",0.9675504827505,0.45895038990663,0.622583105028948
"majority-vote",0.990723270440252,0.525054166847645,0.686358522750303
"majority-vote",0.970238095238095,0.71386444935427,0.822537185545701
"majority-vote",0.981236282951065,0.712511179220348,0.82555615482717
"majority-vote",0.942265972265826,0.155416607534365,0.266823548992244
"majority-vote",0.983012649124116,0.930215525424716,0.955885596990818
"majority-vote",1,0.507096181335512,0.672944683445683
"majority-vote",1,0.377424954053502,0.548015270004818
"majority-vote",0.995341614906832,0.670585005188079,0.80130919807042
"majority-vote",0.913194444444444,0.879981909408227,0.896280601912545
"majority-vote",1,0.689127375087966,0.815956671180085
"majority-vote",0.994983277591973,0.623434895022446,0.76655997283148
"majority-vote",1,0.511574074074074,0.67687595712098
"majority-vote",1,0.590443210742567,0.74248889461057
"majority-vote",0.945718773539305,0.691007038857308,0.798543438791694
"majority-vote",0.877199040418726,0.544747640634473,0.672109740825151
"majority-vote",1,0.417426335065426,0.588991928171221
"majority-vote",0.960425873844918,0.538739058807542,0.690276193179302
"majority-vote",0.95,0.598408542509689,0.73428697889097
"majority-vote",0.82161753590325,0.75051500223914,0.784458398815094
"majority-vote",0.825855698849774,0.544555214723926,0.656334567922179
"majority-vote",0.985816356657809,0.835585421627406,0.904505294598564
"majority-vote",0.590560535694999,0.836867350003755,0.69246346589613
"majority-vote",0.959683691988592,0.637046463098168,0.765768842940284
"majority-vote",0.933363037607211,0.892414484141095,0.912429563625038
"majority-vote",0.886296429065816,0.480185137199078,0.622893689745569
"majority-vote",0.989908854166667,0.503574517467512,0.66755731338119
"majority-vote",0.912868076678524,0.361963187777262,0.518381762775032
"majority-vote",0.941288882199478,0.0406984083786812,0.0780233302357951
"majority-vote",0.837846916989637,0.19786242553268,0.320125379610691
"majority-vote",0.673158997027736,0.43598825135444,0.52921632258606
"majority-vote",0.821650346060577,0.143135647027172,0.243800085731104
"majority-vote",0.79926016887351,0.337073896383873,0.474173480464311
"majority-vote",0.963133978305482,0.442115604514185,0.606036915082755
"majority-vote",0.953422514215068,0.831749907683877,0.888439770247586
"majority-vote",0.96737165582068,0.745229601433779,0.841893570323902
"majority-vote",0.974913929033671,0.691301178349089,0.80897015630659
"majority-vote",0.881599060859483,0.853349591774842,0.867244338962104
"majority-vote",0.977503785420722,0.743077953284428,0.844320843187427
"majority-vote",0.960300225772538,0.656801458943866,0.780070412729969
"majority-vote",0.989224137931034,0.715802470486681,0.830590066219796
"majority-vote",0.990070921985816,0.702268740207599,0.821697765090482
"majority-vote",0.987179487179487,0.814367683538849,0.892485176384114
"majority-vote",0.809354263177664,0.539924223642435,0.647738738098119
"majority-vote",1,0.85590303693752,0.922357493794364
"majority-vote",0.986330524837634,0.568701223130342,0.721435271812221
"majority-vote",0.876496372685478,0.461646592805554,0.604765820232367
"majority-vote",0.866394335511983,0.541881091196717,0.666748420131313
"majority-vote",0.993985938955869,0.576434408336213,0.729699787199682
"majority-vote",0.993464052287582,0.572514336492237,0.726411573492391
"majority-vote",0.995515695067265,0.355351032449688,0.523748972205819
"majority-vote",1,0.706862290993963,0.828259309170552
"majority-vote",0.768361782835467,0.806463886593903,0.786951904232347
"majority-vote",0.984642233856894,0.673166563128475,0.799643758293363
"majority-vote",0.967057332910991,0.522219623862117,0.678203358145182
"majority-vote",0.931071504793265,0.857532140876793,0.89279001834488
"majority-vote",0.71652682721334,0.521752308024044,0.60382108560367
"majority-vote",0.827977574182962,0.637353789527702,0.720266634043963
"majority-vote",0.76865052923684,0.472623144648393,0.585337525328287
"majority-vote",0.99680170575693,0.333058990353594,0.499291047059491
"majority-vote",0.829568556584594,0.524776870991047,0.642876451654294
"majority-vote",0.943732030834453,0.454879805359238,0.613872457515516
"majority-vote",1,0.450802500742764,0.621452610554458
"majority-vote",1,0.645642979237708,0.784669563670221
"majority-vote",0.836258084456455,0.630952588826608,0.719241228165719
"majority-vote",0.984924623115578,0.524986650848012,0.684904190257283
"majority-vote",0.873303167420814,0.316542891973926,0.464661639214059
"majority-vote",0.971906233318386,0.155262846943662,0.267752072674353
"majority-vote",0.99105249204666,0.577402768342274,0.729681575154846
"majority-vote",0.975957638575935,0.648787981884956,0.779432273905464
"majority-vote",0.99247311827957,0.853234939990279,0.917602041908002
"majority-vote",1,0.986015672091621,0.99295860143256
"majority-vote",0.979045776918117,0.440829271045841,0.607929601662073
"majority-vote",0.991529269399486,0.335312327073948,0.501147970591123
"majority-vote",1,0.785152851190327,0.879647757520363
"majority-vote",0.993162393162393,0.565729012954555,0.72084659416641
"majority-vote",0.99262796347491,0.559403421276023,0.715551868702998
"majority-vote",1,0.564141595167633,0.721343383374665
"majority-vote",0.936727376281898,0.722456895142147,0.815756469632432
"majority-vote",0.844710275582274,0.807083768886202,0.825468471831453
"majority-vote",0.972350230414747,0.503570436507937,0.663513752388152
"majority-vote",0.924031893862024,0.171860324805219,0.289817591008424
"majority-vote",1,0.319304007144298,0.48404917352665
"majority-vote",0.997757009345794,0.783159600064926,0.877528994083316
"majority-vote",0.994992527038,0.774484682124668,0.870999035228155
"majority-vote",0.99437933067964,0.720725254026214,0.835720809206993
"majority-vote",0.994426475156698,0.796595719456995,0.884585211514248
"majority-vote",0.979724606647591,0.709426547741568,0.822949022206141
"majority-vote",0.994740623822088,0.75522230393881,0.858589966480812
"majority-vote",0.968992185827446,0.17512698172229,0.296641611520013
"majority-vote",0.978534161018633,0.778128929272355,0.866900139449873
"majority-vote",1,0.73673615249891,0.848414598197722
"majority-vote",0.975744047619048,0.58728433941263,0.733242215171802
"majority-vote",1,0.537866228316661,0.699496768201232
"majority-vote",0.951515151515152,0.413991498697381,0.576956814597296
"majority-vote",0.957209918305644,0.682406848573927,0.796779609686241
"majority-vote",0.98984962406015,0.653811469438582,0.787479900558338
"majority-vote",0.951721380012361,0.296263425635822,0.451864854471315
"majority-vote",1,0.22410663284238,0.366155409716232
"majority-vote",1,0.205421367234051,0.34082914542225
"majority-vote",0.945375470395979,0.226237962962963,0.365103052880436
"majority-vote",0.980332404965881,0.578325223477147,0.727486199455001
"majority-vote",0.993998048145738,0.265362850889167,0.418895260344127
"majority-vote",0.989292833940848,0.960385897585915,0.974625071234771
"majority-vote",1,0.170182433495321,0.29086478932518
"majority-vote",0.959514170040486,0.242018582430576,0.386540040257191
"majority-vote",0.781481481481481,0.373325174825175,0.505273690800823
"majority-vote",0.811067901569406,0.597025763184788,0.68777872530758
"majority-vote",0.982986351342852,0.767610239270308,0.862049420637163
"majority-vote",0.961210535304738,0.800531071585419,0.87354342638815
"majority-vote",0.973504684892825,0.450635868957851,0.616085439635919
"majority-vote",0.946090639130728,0.544774207099349,0.691418513327826
"majority-vote",1,0.741507617579675,0.851569766442036
"majority-vote",0.891812865497076,0.587920458937702,0.708661514222319
"majority-vote",1,0.691298516476871,0.817476642641311
"majority-vote",0.864563025888178,0.656083873763337,0.746032309364204
"majority-vote",0.861196911196911,0.501264307381994,0.633687428785529
"majority-vote",0.949059282925098,0.624086990375496,0.75300760218052
"majority-vote",0.905220991988478,0.450201183907935,0.601335243791487
"majority-vote",0.916428707405292,0.472848972196673,0.623823989617785
"majority-vote",0.987847667950364,0.599445554072757,0.746126656925095
"majority-vote",1,0.424394319131161,0.595894428152493
"majority-vote",0.975926371409696,0.674771970424331,0.797877775649212
"majority-vote",0.538795576900904,0.690784661722661,0.605396392420557
"majority-vote",0.980110958603187,0.531687989817754,0.68939487743708
"majority-vote",0.991878438564318,0.182570640849159,0.308379282418249
"majority-vote",0.983156581409857,0.843612668033721,0.908054859135287
"majority-vote",0.988721804511278,0.519678556090146,0.681274724090357
"majority-vote",0.994833524684271,0.821279002889947,0.899763503405271
"majority-vote",0.665890590890591,0.802342628740655,0.727775941867069
"majority-vote",0.971777269260107,0.372901473507978,0.538979555641197
"majority-vote",0.845869565217391,0.258002479057526,0.395401706053255
"majority-vote",0.992063492063492,0.752560763888889,0.855872611957951
"majority-vote",1,0.809892403753697,0.894961934835451
"majority-vote",0.88618704814221,0.261772057300551,0.404159008183163
"majority-vote",0.869661695767658,0.48914955660745,0.626127627571045
"majority-vote",0.961998123964883,0.735679496996439,0.833753460859371
"majority-vote",0.99685534591195,0.499965210532306,0.665935526798311
"majority-vote",0.982977806507218,0.570336913557252,0.721847956524015
"majority-vote",0.930390259635543,0.651702826125281,0.766500994234901
"majority-vote",0.992592592592593,0.759776552510915,0.860718850426148
"majority-vote",0.905523255813954,0.331929208186246,0.485787738989073
"majority-vote",0.975351097704039,0.849161485027195,0.907892435917798
"majority-vote",0.959156414762742,0.684304195767974,0.798747173877149
"majority-vote",0.994652406417112,0.582851670625965,0.735002622445228
"majority-vote",1,0.595161517760175,0.746208469968437
"majority-vote",0.712336801684628,0.672696400821401,0.691949336375265
"majority-vote",1,0.506743996743997,0.672634499077543
"majority-vote",0.957598039215686,0.541817976079306,0.692061210781824
"majority-vote",0.98692403486924,0.438562979354054,0.607270835594688
"majority-vote",0.706789492931815,0.669661266568483,0.687724633470861
"majority-vote",0.828810199445844,0.495104594571155,0.619900524758097
"majority-vote",0.78036073263346,0.344235817496708,0.477732418278033
"majority-vote",0.98447267594273,0.84105910903948,0.907132615836841
"majority-vote",0.877705198138635,0.438782680858688,0.585074645937792
"majority-vote",0.98516228748068,0.698615248434287,0.817506329115396
"majority-vote",0.994054696789536,0.422945073205788,0.593409463299483
"majority-vote",1,0.665349753852894,0.799051072981594
"majority-vote",0.928698151688554,0.386653934188721,0.545990382163998
"majority-vote",0.996268656716418,0.380679604083859,0.550869148241693
"majority-vote",0.95069414843232,0.462171564686495,0.621975320144683
"majority-vote",0.895617212952822,0.537625793467761,0.671912456715449
"majority-vote",0.961763778108242,0.464219012749041,0.626191331948381
"majority-vote",0.989690721649485,0.464483969638609,0.632242436703472
"majority-vote",0.972222222222222,0.462043603887576,0.626395820297198
"majority-vote",0.954813830716304,0.633684743128979,0.761789739085266
"majority-vote",1,0.296461853558628,0.457339878909474
"majority-vote",1,0.63457014182967,0.776436722524931
"majority-vote",1,0.579105741078924,0.733460370656686
"majority-vote",0.976417824074074,0.592801458816496,0.737719599595189
"majority-vote",0.552183409913673,0.242746818014675,0.337239070820991
"majority-vote",0.798350349782568,0.576269741323832,0.669370617425932
"majority-vote",0.984732824427481,0.333008370763577,0.497706643302542
"majority-vote",0.970737913486005,0.488075384461414,0.64955985937692
"majority-vote",0.982142857142857,0.566034042410189,0.718168953190502
"majority-vote",0.889344262295082,0.173810690657052,0.290790237175058
"majority-vote",0.938202247191011,0.833060214639162,0.882510618570118
"majority-vote",0.961794019933555,0.4428428714143,0.606453707887128
"majority-vote",0.972139303482587,0.773197504540788,0.861330237308201
"majority-vote",0.902765448958689,0.553297905691327,0.686094091502487
"majority-vote",1,0.20390061424184,0.338733300456445
"majority-vote",1,0.819914514294997,0.901047283105622
"majority-vote",0.962577962577962,0.583084881044538,0.72624461294606
"majority-vote",1,0.423544989669979,0.595056696828626
"majority-vote",0.95128002111375,0.509499816708021,0.66358664577159
"majority-vote",0.834248241088983,0.579181196488852,0.683700058307339
"majority-vote",0.944648651545203,0.540553422965784,0.687627725352997
"majority-vote",0.960298777151437,0.315903619381359,0.475413398711379
"majority-vote",0.978299319727891,0.795056498939994,0.877210567524466
"majority-vote",0.970461095100865,0.425979739825918,0.592072008298034
"majority-vote",0.805365418407908,0.190698981361139,0.308378383866517
"majority-vote",0.840324852042006,0.203191315743173,0.327252643723778
"majority-vote",0.948535265456872,0.0568910215386563,0.10734380215687
"majority-vote",0.986147876967364,0.0611454569096013,0.115151048072433
"majority-vote",0.904505255691271,0.23477638523086,0.372790127964549
"majority-vote",0.947348947348947,0.206062960912743,0.33849750936333
"majority-vote",0.912956810631229,0.290438836010033,0.44068318536341
"majority-vote",0.92096157250949,0.326732644059125,0.482342878033734
"majority-vote",0.992853784673249,0.218677518758217,0.358413854445376
"majority-vote",0.978492935635793,0.213241723344092,0.350171102774847
"majority-vote",0.944305641159266,0.31174829895781,0.468746871332972
"majority-vote",0.959207934243598,0.468300427033604,0.629344804423279
"majority-vote",0.909369877982153,0.63434106388266,0.747355790800063
"majority-vote",0.975106685633002,0.555365017148457,0.707677430695333
"majority-vote",0.955162393162393,0.53370532659515,0.684782469563052
"majority-vote",0.975,0.314286213195788,0.475346831028836
"majority-vote",0.894347510463257,0.149974953099484,0.25687415643398
"majority-vote",0.854551563626197,0.56413508995129,0.679618042502363
"majority-vote",0.950288488601182,0.60575217097603,0.739876958202496
"majority-vote",0.926295596918742,0.702976481263752,0.799331220428744
"majority-vote",0.973429951690821,0.739419496666978,0.840439404186834
"majority-vote",0.91013797052341,0.585905420095954,0.712886769606367
"majority-vote",0.752705454585293,0.787133993151006,0.769534838200519
"majority-vote",0.928415261840676,0.806954744014062,0.863434423125674
"majority-vote",0.991174152876281,0.526144184413164,0.687397632336157
"majority-vote",1,0.357645216658037,0.526861086047814
