"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.724341972830973,0.481473114887775,0.578448867417439
"majority-vote",1,0.412374080862146,0.583944560368063
"majority-vote",0.605161675805764,0.221227216642017,0.324007823387794
"majority-vote",0.786178670529966,0.535955054260143,0.637388524506394
"majority-vote",0.903070798916556,0.780985332779263,0.837602779552093
"majority-vote",0.589235659679502,0.746851399722409,0.658746709806452
"majority-vote",0.932377328243513,0.340133717580293,0.49843648569312
"majority-vote",0.5594676071763,0.811679211193942,0.662377245087698
"majority-vote",0.778791074106765,0.423771986339707,0.548877395743934
"majority-vote",0.654015384605858,0.702623173727052,0.677448480843373
"majority-vote",1,0.420078144788841,0.591626800722723
"majority-vote",0.85408392753939,0.767066103904648,0.808239605216125
"majority-vote",0.625436280818211,0.866808216292233,0.726601181013244
"majority-vote",1,0.290907592281426,0.450702426758996
"majority-vote",0.461628976075351,0.752910915055514,0.572341011326375
"majority-vote",0.918632981826651,0.234944881385962,0.374189075285188
"majority-vote",0.739882278701747,0.855681950994222,0.793579976239751
"majority-vote",0.749800890137184,0.625085263272867,0.6817866128787
"majority-vote",0.978267627428847,0.746308543168228,0.846688595496821
"majority-vote",0.92754044722618,0.738631362669406,0.822376732575493
"majority-vote",0.615375298247132,0.526696472543003,0.567593048294373
"majority-vote",0.988578686636001,0.434036900200863,0.603226384867853
"majority-vote",1,0.117757706938609,0.21070345783816
"majority-vote",0.798579290039572,0.788338309054521,0.79342575508034
"majority-vote",0.978510445238231,0.210214088855254,0.346079643822556
"majority-vote",0.458168430687945,0.760197027059818,0.571746805011187
"majority-vote",0.740405274849774,0.919465978533718,0.820277427136078
"majority-vote",0.91706759341389,0.309614711708928,0.462935867529308
"majority-vote",0.764955491533425,0.387076262111809,0.514041581593144
"majority-vote",0.98653792099947,0.411560596575501,0.580817632244037
"majority-vote",0.975411956391225,0.671950474899912,0.795730817785419
"majority-vote",0.807901742347004,0.562248786028985,0.663053824317695
"majority-vote",0.796851606170391,0.824613515751888,0.810494898240803
"majority-vote",0.754658403888492,0.696512300933666,0.724420441461044
"majority-vote",0.827469091765864,0.435195561116239,0.570398284097708
"majority-vote",0.954648601328047,0.306851246634463,0.464423541371784
"majority-vote",0.967864926398552,0.437714364426671,0.602809651329855
"majority-vote",0.751381233624633,0.672700951651823,0.709867556997053
"majority-vote",0.999999366171953,0.38151175199303,0.552310444937904
"majority-vote",0.968385193137751,0.286642029928486,0.442348807120727
"majority-vote",0.87641558453476,0.409065560888625,0.55778559481114
"majority-vote",0.707558783556524,0.701818888843151,0.704677147923527
"majority-vote",0.744725591765306,0.562036365610283,0.640610728848203
"majority-vote",0.99150483782256,0.15349537960886,0.265836476096059
"majority-vote",0.824158273316076,0.899068574699859,0.859985213172038
"majority-vote",0.740680550878759,0.576568188771579,0.648401218120523
"majority-vote",0.607773472552798,0.655910966021103,0.630925369238521
"majority-vote",1,0.0891249972700941,0.163663486731986
"majority-vote",0.715674820758166,0.443080242011759,0.547313893973833
"majority-vote",0.522551171143803,0.471984337144938,0.49598222704184
"majority-vote",1,0.851232541988863,0.919638697658529
"majority-vote",0.608241849056031,0.0787958633560637,0.139517644402354
"majority-vote",0.578898429680408,0.202574608846675,0.300125832045321
"majority-vote",0.826185534310738,0.351217025952532,0.492899261541844
"majority-vote",0.79444656718109,0.932748257188708,0.858060295818787
"majority-vote",0.901536401008249,0.421446772825738,0.574383127925608
"majority-vote",0.928153380793258,0.830623672123168,0.876684362204563
"majority-vote",0.612626210279702,0.765425091906392,0.68055445042391
"majority-vote",0.999809649206963,0.161439033142715,0.277990934324481
"majority-vote",0.807376169200924,0.641810506242027,0.715135622847496
"majority-vote",0.665856943336366,0.431941223400255,0.523978034266961
"majority-vote",0.898598805657953,0.833899139412962,0.865040876784429
"majority-vote",0.758770829428627,0.78708428501854,0.772668266504825
"majority-vote",0.773508068714923,0.540973247715266,0.636672681210982
"majority-vote",0.929885287389826,0.504725780847323,0.654305669554033
"majority-vote",0.910802428895643,0.840329084812367,0.874147675976754
"majority-vote",0.961172070304412,0.55228931581704,0.701497996524732
"majority-vote",0.864921843486437,0.698673274623543,0.772959405773222
"majority-vote",0.882681442789393,0.172185763228542,0.288159831014366
"majority-vote",0.84491929700129,0.994841691034957,0.913771895026475
"majority-vote",1,0.743609825097271,0.852954387379398
"majority-vote",1,0.674838951363016,0.805855334106983
"majority-vote",0.923248440618158,0.768335885835959,0.838698842706806
"majority-vote",0.863260221863743,0.910749130041446,0.886369054613426
"majority-vote",0.307367240166104,0.704934303815018,0.428081361231386
"majority-vote",0.924620307875885,0.706044305619178,0.800683227970957
"majority-vote",0.311919506996654,0.575612993957218,0.404593456809837
"majority-vote",1,0.738719560619934,0.849728245257155
"majority-vote",0.472950384281194,0.767380304983288,0.585219431032357
"majority-vote",0.883234528721987,0.53930687200542,0.669695027067283
"majority-vote",0.889446166937079,0.461474492079378,0.607669614613892
"majority-vote",0.571572833381434,0.482685626530822,0.523382076937142
"majority-vote",0.937165730031251,0.516706974772882,0.66613819438959
"majority-vote",0.454381605388325,0.787700509310771,0.576317165749605
"majority-vote",0.675430217808626,0.26530443481837,0.380967431559082
"majority-vote",0.99687353423503,0.907311240999432,0.949986130789127
"majority-vote",0.334365254597706,0.812189802277749,0.473711311797492
"majority-vote",0.883518384454386,0.801411517254247,0.840464411355734
"majority-vote",0.736593696852864,0.924623044294805,0.819967063324843
"majority-vote",0.674986836462563,0.572491169188205,0.619528362732962
"majority-vote",0.98439909396342,0.563688063727459,0.716876974858422
"majority-vote",0.695709717005269,0.518894372528292,0.594432144890798
"majority-vote",0.746799439107093,0.0899601854784587,0.160577097850672
"majority-vote",0.514159957430288,0.275685848858791,0.358922268586409
"majority-vote",0.22881895788897,0.653908213277439,0.339009834079243
"majority-vote",0.533904247741158,0.184174332656771,0.27387381051208
"majority-vote",0.411371813194052,0.453542177556181,0.431428951171038
"majority-vote",0.845870619540681,0.492826423885952,0.62279571699267
"majority-vote",0.881504188390905,0.906338643868765,0.89374893167881
"majority-vote",0.947958386491457,0.839692052824038,0.890546726629135
"majority-vote",0.641039892839241,0.778197394223962,0.702991076613236
"majority-vote",0.583196021443532,0.907476816450819,0.710064415816328
"majority-vote",0.811149818706357,0.809033439974537,0.810090247071215
"majority-vote",0.939994669747236,0.54653379084636,0.691192753924381
"majority-vote",0.777273897784474,0.77965394672853,0.778462103086463
"majority-vote",0.82071684227782,0.749136608992661,0.783294812225422
"majority-vote",0.766435495863073,0.71543168105563,0.740055848144487
"majority-vote",0.884291061885105,0.578881753763427,0.699712235310331
"majority-vote",0.973409628582042,0.942748696885072,0.957833856090564
"majority-vote",0.885365667481816,0.671335094318791,0.763636863899288
"majority-vote",0.694088510124915,0.486640440702479,0.572140690235507
"majority-vote",0.538799792325664,0.562608639542912,0.550446881239268
"majority-vote",0.653046740846631,0.613025588049992,0.632403620542795
"majority-vote",0.522652161377279,0.892726981313697,0.65930841034767
"majority-vote",0.733686798478279,0.441136907959363,0.550987052640806
"majority-vote",0.892252501947935,0.807587442578365,0.847811487784616
"majority-vote",0.441873277461384,0.772728367443298,0.562238685814312
"majority-vote",0.862538087988895,0.60578918418333,0.711716324490572
"majority-vote",0.965909945635665,0.680135103405133,0.798215408670357
"majority-vote",0.655072352253171,0.859681618577944,0.743557925465184
"majority-vote",0.548308440149137,0.642688709948188,0.59175900466992
"majority-vote",0.904303948298815,0.6245126826592,0.738805783840153
"majority-vote",0.622461246578261,0.484499550076901,0.544883242150486
"majority-vote",0.999942184212814,0.432275742265423,0.603610305264072
"majority-vote",0.906513436434327,0.371261934094981,0.526781059419358
"majority-vote",0.682254121763531,0.643376931188772,0.662245444799346
"majority-vote",0.958032915457426,0.41389447616913,0.578054690235344
"majority-vote",1,0.612764719492422,0.759893507200821
"majority-vote",0.708874038445263,0.707804453700582,0.708338842307519
"majority-vote",0.923294352507453,0.645741980492663,0.759969557398145
"majority-vote",0.759153836501376,0.865440327616641,0.808820269682384
"majority-vote",0.97038386558635,0.352675978766208,0.51733272842556
