"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",1,0.360153603797848,0.529577840020744
"majority-vote",1,0.15804983478407,0.272958606852251
"majority-vote",0.975252062328139,0.127771455740431,0.22594146666196
"majority-vote",0.956032533058968,0.238882616972575,0.382252335493474
"majority-vote",0.996786958668605,0.126618245450971,0.224694376227216
"majority-vote",0.978206958743518,0.088451808308278,0.162234028488332
"majority-vote",1,0.0741065868476152,0.137987398559969
"majority-vote",0.981932096873084,0.243855030000924,0.390686238568188
"majority-vote",1,0.0681303455964682,0.127569347462781
"majority-vote",0.880519319203903,0.269859439017125,0.413109939358688
"majority-vote",0.878467635402906,0.10058655989519,0.180504895130011
"majority-vote",1,0.180242814537787,0.305433445249781
"majority-vote",0.988124156545209,0.2212713317145,0.361574935809705
"majority-vote",0.913913635238802,0.0372644362083651,0.0716090443685193
"majority-vote",1,0.226388324568882,0.369195172578743
"majority-vote",0.989334779464931,0.0621872527236708,0.117018968838625
"majority-vote",1,0.197834373534977,0.330320080815747
"majority-vote",1,0.19789738059753,0.330407902718371
"majority-vote",1,0.153265568531013,0.265794059431146
"majority-vote",1,0.147009575159741,0.256335393083824
"majority-vote",0.932926829268293,0.324775865752776,0.481818350010813
"majority-vote",1,0.109964119260319,0.198139953088932
"majority-vote",1,0.0208442723400596,0.0408373204510002
"majority-vote",0.840034217279726,0.256675035454488,0.393205057704589
"majority-vote",0.989059080962801,0.222745930106883,0.363604512124021
"majority-vote",1,0.682955671973618,0.811614569946111
"majority-vote",0.984661429105874,0.166014022439752,0.28412460588703
"majority-vote",0.975765306122449,0.26161043423532,0.412599628585972
"majority-vote",0.964636542239686,0.172904441419188,0.293246476222798
"majority-vote",1,0.14093874255366,0.247057510271252
"majority-vote",0.740887054192867,0.196711821702167,0.310881861855276
"majority-vote",1,0.0787807171158356,0.146055108078793
"majority-vote",0.89105581691587,0.106072086126751,0.189576781608935
"majority-vote",0.846104610744221,0.120682956195996,0.211236489105552
"majority-vote",0.970496287612349,0.154113707985666,0.26598871085212
"majority-vote",0.994330708661417,0.0873431902504267,0.160580774567685
"majority-vote",1,0.113242441152558,0.20344614428339
"majority-vote",1,0.214459537805074,0.353176917186838
"majority-vote",1,0.133047345157613,0.234848694939761
"majority-vote",1,0.102337209261381,0.185673146840342
"majority-vote",1,0.120450419999332,0.215003569724047
"majority-vote",1,0.286868165151089,0.445839244329131
"majority-vote",1,0.207618525741638,0.343847864728861
"majority-vote",0.993899057127011,0.082220208767448,0.151876451915074
"majority-vote",0.693104717673003,0.81788191196515,0.750341267835329
"majority-vote",1,0.121471895348828,0.216629406144939
"majority-vote",1,0.230494488748832,0.374637173683239
"majority-vote",1,0.01797640796794,0.0353179264808781
"majority-vote",1,0.145539392953547,0.254097578570917
"majority-vote",1,0.184251742732848,0.311169890799836
"majority-vote",1,0.149484449086333,0.260089554417462
"majority-vote",0.947972471365878,0.0302785830939231,0.058682815856209
"majority-vote",0.959218221135121,0.0887547364934548,0.16247587275385
"majority-vote",0.996820349761526,0.142896908492147,0.24996119918591
"majority-vote",1,0.220725429063263,0.361629935459998
"majority-vote",1,0.107536882244559,0.194191063012949
"majority-vote",0.981874276899344,0.37458853858483,0.542291091593956
"majority-vote",0.941483803552769,0.443322695779065,0.602800662799788
"majority-vote",1,0.0760717090055932,0.141387805977897
"majority-vote",1,0.275403663767561,0.431869017772796
"majority-vote",1,0.234797407532453,0.380301102189157
"majority-vote",1,0.379877673137661,0.550596158678137
"majority-vote",1,0.311662204582871,0.475217176333879
"majority-vote",1,0.187923864147858,0.316390418307932
"majority-vote",1,0.0322775050388025,0.0625364882626
"majority-vote",0.992546583850932,0.207338186975554,0.34302095365821
"majority-vote",1,0.357486911525434,0.526689294003902
"majority-vote",1,0.205347761008968,0.340727825863427
"majority-vote",0.99180184724205,0.115778471977538,0.207351648247225
"majority-vote",0.994407182969886,0.0441889273947571,0.0846176610340927
"majority-vote",1,0.144880518800393,0.253092818719981
"majority-vote",1,0.159885529426403,0.275691911606951
"majority-vote",1,0.16132474691936,0.277828828408772
"majority-vote",0.895220588235294,0.218701156243498,0.351525192340422
"majority-vote",1,0.166270934593802,0.285132604546493
"majority-vote",1,0.157897928937527,0.272732034476323
"majority-vote",1,0.134993397472175,0.237875211913705
"majority-vote",1,0.121287989811116,0.216336910612139
"majority-vote",1,0.288717772173181,0.448069823210884
"majority-vote",1,0.337613415120064,0.504799684727683
"majority-vote",0.998009289980093,0.171391471928778,0.292543474880364
"majority-vote",1,0.279188562524837,0.436508847411487
"majority-vote",0.962424242424242,0.199248721239203,0.330147650140536
"majority-vote",1,0.361227787922053,0.530738192574625
"majority-vote",1,0.356476891628194,0.52559228075063
"majority-vote",1,0.0628267984008603,0.118225845444225
"majority-vote",0.902761007808098,0.34551707171888,0.499759380534885
"majority-vote",1,0.202690756728697,0.33706213437611
"majority-vote",1,0.547528915755232,0.70761704053591
"majority-vote",0.931215746531324,0.378044895998434,0.53777124067416
"majority-vote",1,0.0826625109342421,0.152702268896171
"majority-vote",0.98850664682076,0.266998632535602,0.420436181819642
"majority-vote",1,0.0221079885687493,0.0432595945164403
"majority-vote",0.998944713870029,0.123047717794876,0.219106410660126
"majority-vote",0.986748408809759,0.138594814108903,0.243051558859619
"majority-vote",1,0.0542280783051633,0.102877317387227
"majority-vote",0.995211121144953,0.139613192954516,0.244874207506117
"majority-vote",1,0.162105307175138,0.278985572433511
"majority-vote",0.977683583763762,0.382722386046613,0.550102546269812
"majority-vote",0.985861564791782,0.435265802655894,0.603903401110865
"majority-vote",1,0.299966598718602,0.461498932379161
"majority-vote",0.954705461198381,0.407077794199682,0.57078010280193
"majority-vote",1,0.214190231371997,0.352811653129458
"majority-vote",1,0.128085971224754,0.227085478397879
"majority-vote",1,0.152543793929405,0.264708021912699
"majority-vote",1,0.18343282737564,0.310001249132859
"majority-vote",1,0.163185313167676,0.280583517209785
"majority-vote",1,0.251254334648093,0.401603938848702
"majority-vote",1,0.334903096248243,0.501763906592907
"majority-vote",1,0.47864923473966,0.647414171656382
"majority-vote",0.998020427186802,0.114508985658371,0.205445906353577
"majority-vote",0.952054081116989,0.113845547565497,0.203372091067716
"majority-vote",1,0.116268448501071,0.208316285669808
"majority-vote",0.96,0.189542102878044,0.316578954885355
"majority-vote",0.979035639412998,0.0951331867785356,0.173415534087585
"majority-vote",1,0.127764815663628,0.226580602425419
"majority-vote",1,0.501945056985644,0.668393367188853
"majority-vote",0.868059373282023,0.271810593222113,0.413990613205521
"majority-vote",0.995662195723041,0.068006940871833,0.1273176737827
"majority-vote",0.890086539285408,0.171331602478911,0.287351322009981
"majority-vote",0.971593430980914,0.0468197032518907,0.0893345040257779
"majority-vote",0.783080260303688,0.136805690081283,0.232919820886585
"majority-vote",0.879064669345999,0.0637123786940242,0.11881345908101
"majority-vote",0.892153981780782,0.069244257863271,0.128513945253415
"majority-vote",0.865209471766849,0.0601608425337853,0.112499244865109
"majority-vote",0.971162377994676,0.175652450307187,0.297497114845498
"majority-vote",0.913762019230769,0.0439737955512818,0.0839095366300451
"majority-vote",1,0.16485630109082,0.283050022455888
"majority-vote",0.88361629760948,0.228926484614419,0.363641157880501
"majority-vote",1,0.151054499824917,0.262462811010066
"majority-vote",1,0.727997756735608,0.84259109006123
"majority-vote",0.997373604727511,0.0426900466666327,0.0818756153487566
"majority-vote",1,0.102279524133079,0.185578198440219
"majority-vote",1,0.20003713255273,0.333384904727422
"majority-vote",1,0.160677324530896,0.27686820640842
"majority-vote",1,0.0341025588492924,0.0659558542960001
"majority-vote",1,0.214772179527119,0.353600754358277
"majority-vote",0.98974358974359,0.154519401688774,0.267306709135177
"majority-vote",1,0.617062313886952,0.763189282920968
"majority-vote",1,0.045251503822716,0.0865849102483397
"majority-vote",1,0.0497064935375466,0.0947055083369714
"majority-vote",1,0.0575650556328774,0.108863384481683
"majority-vote",0.991998878630717,0.217042961207378,0.356160336289505
"majority-vote",1,0.319615311281505,0.484406794236299
"majority-vote",1,0.233343756160511,0.378392082491141
"majority-vote",0.95102334984304,0.161282694721166,0.275793895672895
"majority-vote",1,0.160272978965318,0.276267709187268
"majority-vote",1,0.090877109672408,0.166612918846007
"majority-vote",0.997209302325581,0.215982132851617,0.355062500065034
"majority-vote",1,0.0655891408746284,0.123103996387939
"majority-vote",1,0.0997570526081237,0.181416527171243
"majority-vote",0.992139439507861,0.0779102798188671,0.14447527055103
"majority-vote",1,0.101185517770833,0.183775605722941
"majority-vote",0.994585651977741,0.0525954787359111,0.0999076606240754
"majority-vote",0.930354656556811,0.271345197795033,0.420150285262536
"majority-vote",0.995069475571493,0.170384352187901,0.290949781001887
