"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.878964765855042,0.657480173283405,0.752258531162771
"majority-vote",0.970108863015273,0.409501674489926,0.575903406131784
"majority-vote",0.965476715146173,0.401068149388582,0.566716789870304
"majority-vote",0.793043060556084,0.950059487049957,0.864479355337074
"majority-vote",0.978976371502932,0.739825432158052,0.842763389678794
"majority-vote",0.91704683608421,0.91894028664881,0.91799258501025
"majority-vote",0.981565378577015,0.694511318406882,0.813457124491747
"majority-vote",0.978746956148363,0.838708954647802,0.903332874904581
"majority-vote",0.997165763619154,0.509792517245192,0.674667177188953
"majority-vote",0.904952492575012,0.823598864714104,0.862361239499252
"majority-vote",1,0.390963888513981,0.562148150275364
"majority-vote",0.808592639828088,0.890351886948767,0.847504990653978
"majority-vote",0.819327275119975,0.806243335046031,0.812732649884026
"majority-vote",1,0.68750875380224,0.814820962858021
"majority-vote",0.812368553966184,0.840619959780926,0.826252832954432
"majority-vote",0.946910597361257,0.721155501390792,0.818756267660132
"majority-vote",0.646273909424193,0.957016077808164,0.771531696589152
"majority-vote",0.850370243756951,0.671248890539398,0.750266699207268
"majority-vote",1,0.890331977408922,0.941984781561279
"majority-vote",0.995840890766434,0.881438862735977,0.935154028679531
"majority-vote",0.540309760641993,0.87099411376059,0.666910407690592
"majority-vote",0.956204619293406,0.686832163567876,0.799436865118966
"majority-vote",1,0.393110072663689,0.564363262282707
"majority-vote",0.995737929401786,0.823395425011096,0.90140291649379
"majority-vote",0.999610577369452,0.486453658140412,0.654432305761512
"majority-vote",0.58758986046075,0.891168125883153,0.708217787589985
"majority-vote",0.825902871109142,0.957654622163745,0.88691248245056
"majority-vote",0.842636004088831,0.549533381614107,0.665230276649024
"majority-vote",0.951149721034986,0.290807799497487,0.445428692679028
"majority-vote",0.999516189937358,0.503279990340311,0.669467363596456
"majority-vote",0.968833219735003,0.903297726238277,0.934918410886872
"majority-vote",0.972325699993029,0.623206633052846,0.759570725297216
"majority-vote",0.855163014728087,0.864447839559442,0.859780361015595
"majority-vote",0.877426884343003,0.852275053526756,0.864668100840799
"majority-vote",0.953206274381331,0.530461125056174,0.681606771046699
"majority-vote",1,0.345180979010325,0.51321121008458
"majority-vote",0.959919899437561,0.421311758194983,0.585601319407322
"majority-vote",0.855477471788784,0.831089448349761,0.843107132738243
"majority-vote",1,0.571768607014249,0.727548068414966
"majority-vote",0.999358151736685,0.559879858103244,0.71768453136426
"majority-vote",0.988832087752303,0.452376520477987,0.62076290224724
"majority-vote",0.837689768117277,0.753377938878694,0.793299981074361
"majority-vote",0.724660659979729,0.678795238603439,0.700978500420355
"majority-vote",0.984406936750413,0.676785462335674,0.802113354457442
"majority-vote",0.451513941967857,0.922520490446112,0.60628882852035
"majority-vote",0.989520127991887,0.673093054105635,0.801195530290209
"majority-vote",0.897796335949752,0.567851720257163,0.695685695690194
"majority-vote",1,0.945987221215878,0.972244021854176
"majority-vote",0.896753227293812,0.517382117856954,0.656180591940251
"majority-vote",0.804740421059505,0.588107665977323,0.679577356858444
"majority-vote",0.965504876285979,0.946744659248356,0.956032743756504
"majority-vote",1,0.0180131274455106,0.0353887920693336
"majority-vote",0.996668721230189,0.223197803670309,0.364719032819789
"majority-vote",0.844814818659874,0.451227433642989,0.588258016820244
"majority-vote",0.840684643675136,0.869054884901159,0.854634386157804
"majority-vote",0.996058400267879,0.468610941505744,0.637364149616205
"majority-vote",0.943996880417545,0.885003896784168,0.913549002422855
"majority-vote",0.917296297336538,0.749617117102088,0.825023063563753
"majority-vote",0.925919470316647,0.711610695949027,0.804741448113127
"majority-vote",0.963797171555432,0.706914264600393,0.815606997126583
"majority-vote",0.951982441966563,0.466985740242097,0.626599286627079
"majority-vote",0.841524725398937,0.8745228678117,0.857706533434122
"majority-vote",0.571045249687646,0.951676315879181,0.713788064360602
"majority-vote",0.891991415033675,0.58480523447474,0.706449664267404
"majority-vote",0.977154742267117,0.91491836638979,0.945012976945365
"majority-vote",0.98528679097851,0.809655096319242,0.888878327813462
"majority-vote",0.823834664089413,0.98233269668912,0.896129278797393
"majority-vote",0.977315546693251,0.724699917622873,0.832260941253826
"majority-vote",0.634033808141735,0.610798004402237,0.622199048633074
"majority-vote",0.967942471630192,1,0.983710129319353
"majority-vote",0.68378267133155,1,0.81219825215425
"majority-vote",0.598014605203104,0.858233533003629,0.704874634955062
"majority-vote",0.979246912375551,0.795557031793454,0.877896141218191
"majority-vote",0.893271343774212,0.94524513334157,0.918523604184031
"majority-vote",0.946417355832508,0.948111315396673,0.947263578302482
"majority-vote",0.995634837663648,0.85867029520732,0.922094260346122
"majority-vote",1,0.555769144098154,0.714462227518109
