"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.847075669688654,0.376576587074478,0.521371758883503
"majority-vote",0.997066352936424,0.11658329158073,0.208757355460965
"majority-vote",0.858699971657158,0.0712551487224079,0.131590853897088
"majority-vote",0.925795865413833,0.368676421642708,0.527348650481349
"majority-vote",0.95537520289022,0.192886720106944,0.320970652542409
"majority-vote",0.946276297795032,0.120162796728944,0.213246507944492
"majority-vote",0.971165637098116,0.0803697212587258,0.14845399335234
"majority-vote",0.900376863837457,0.242563568534221,0.382169742065861
"majority-vote",0.971369202099077,0.188430952787093,0.315633729636002
"majority-vote",0.822522728214633,0.269928337769625,0.406466156183718
"majority-vote",0.928581230723549,0.0863811853357548,0.158058950994196
"majority-vote",0.994905326578008,0.449090746519753,0.61884209265318
"majority-vote",0.874025465713488,0.41438526015706,0.562217098509267
"majority-vote",0.981781216674594,0.080522895199237,0.148838482568647
"majority-vote",0.94749218851712,0.254756079917326,0.401546672241385
"majority-vote",0.946665151772146,0.13691885433452,0.239236288628457
"majority-vote",0.925226928385387,0.363197394779295,0.521629410323186
"majority-vote",0.98256676280989,0.105887739922244,0.191173399669898
"majority-vote",0.999728544864747,0.218977267979378,0.359262790360518
"majority-vote",0.961281407963685,0.133173855381852,0.233938390161502
"majority-vote",0.754072532883493,0.34912816700497,0.477280264998066
"majority-vote",0.980186974027673,0.135295638116814,0.237771563054513
"majority-vote",1,0.0204097094198707,0.0400029698491876
"majority-vote",0.977561987729062,0.205430022293594,0.339512996252114
"majority-vote",0.987795147747887,0.124448569648381,0.221048123392616
"majority-vote",0.92219807435693,0.718481525117576,0.807692469799317
"majority-vote",0.901334563461359,0.246052485303678,0.386575061429316
"majority-vote",0.890513516658522,0.199085886165107,0.325419915147778
"majority-vote",0.979834046614674,0.200120237298452,0.332359693243959
"majority-vote",0.979556449163224,0.126982107118916,0.224820258183492
"majority-vote",0.961423660456215,0.293403984436447,0.449600443307825
"majority-vote",0.960958524962897,0.122369529415447,0.217094059388965
"majority-vote",0.959524071587059,0.182204453893222,0.306254167359754
"majority-vote",0.952902606261457,0.173851073863815,0.294053872302887
"majority-vote",0.986832811007191,0.170138897261288,0.290238119127904
"majority-vote",0.980750165541703,0.102752238532129,0.186015784683573
"majority-vote",0.980742572396997,0.249200585574709,0.397419379514123
"majority-vote",0.959598732726211,0.416500323567421,0.580878507033976
"majority-vote",0.990985830435264,0.244557939205787,0.392302496161333
"majority-vote",0.977612724286153,0.191970168488499,0.320922066417182
"majority-vote",0.991139539187204,0.267746025995069,0.421600946366454
"majority-vote",0.968663004112197,0.548108295139179,0.700082112590581
"majority-vote",0.973835095902688,0.390666068108652,0.557631371722822
"majority-vote",0.991615891738636,0.123574324615969,0.219762085970631
"majority-vote",0.979920321877435,0.928974667213748,0.953767661515502
"majority-vote",0.99735640156522,0.49653866795173,0.662999737011591
"majority-vote",0.927398883732974,0.243682375892456,0.385952318048956
"majority-vote",1,0.0130014260065029,0.0256691168891197
"majority-vote",0.952573177778612,0.221489148794293,0.359409577388152
"majority-vote",0.889891806383785,0.365110802260242,0.517782368125353
"majority-vote",0.957363665547486,0.0638937710988001,0.119792664826362
"majority-vote",0.958451803602411,0.0639766053950327,0.119946770433258
"majority-vote",0.884013882093311,0.119846988370681,0.211077858623553
"majority-vote",0.906069709571169,0.151125028753264,0.259043685988122
"majority-vote",0.891735134300266,0.20119913622142,0.328320455490641
"majority-vote",0.970735646243505,0.0808613858431668,0.149287278772279
"majority-vote",0.898176837593732,0.271851219622932,0.417375407762054
"majority-vote",0.861692622260884,0.375860545075674,0.523413889986972
"majority-vote",0.982581060529983,0.0783056140378169,0.145051521771777
"majority-vote",0.976135093560774,0.302011019880943,0.461298676336838
"majority-vote",0.930351926313996,0.210510261973084,0.343334418032689
"majority-vote",0.944620471139275,0.647504058194049,0.76833887958748
"majority-vote",0.906115230134521,0.596137583132942,0.719145723757977
"majority-vote",0.940094282276186,0.245773866244838,0.389673348892696
"majority-vote",0.981532912423623,0.0500068070485938,0.0951651711259858
"majority-vote",0.909178790307051,0.525033056352014,0.665660265123735
"majority-vote",0.984045582060169,0.223107254773674,0.363744675382519
"majority-vote",0.886890478744649,0.268402440730775,0.412092145884588
"majority-vote",0.970936147646052,0.175048631701311,0.296620072408947
"majority-vote",0.973348983794625,0.0484627331223289,0.0923284618008793
"majority-vote",0.990769230769231,0.0996718074153659,0.181122603614967
"majority-vote",0.318402771217524,0.0846526263287849,0.133746532005342
"majority-vote",0.981672510497251,0.161718215200723,0.277690421552647
"majority-vote",0.839865634554362,0.230308051483318,0.361488644928623
"majority-vote",0.950369055588747,0.107416616438169,0.193017226492142
"majority-vote",0.992367794039561,0.137926215192424,0.242191027808304
"majority-vote",0.990352326635041,0.0533577500621694,0.10125986727138
"majority-vote",0.938495946323735,0.140535756332275,0.244464064043218
"majority-vote",0.971819145105228,0.52647779844436,0.682963689145571
"majority-vote",0.951926647520931,0.212299163175975,0.347171878198839
"majority-vote",0.986728880690142,0.212966832176625,0.350323038890619
"majority-vote",0.986742260929551,0.202017057247366,0.335372795428947
"majority-vote",0.981703921724604,0.0904269109438449,0.165600037603744
"majority-vote",0.828522691565292,0.248280896398879,0.382068482772343
"majority-vote",0.784483058530862,0.313997411215603,0.448484349618054
"majority-vote",0.995764816824526,0.0608415026079552,0.114676254694899
"majority-vote",0.925727687679056,0.322114178064544,0.477929169415446
"majority-vote",0.958152238350191,0.191553883551353,0.319277733314737
