"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.964126016260163,0.675207394821585,0.794206976223552
"majority-vote",0.952529536570284,0.555459849765045,0.701718351699917
"majority-vote",0.973444976076555,0.438663891738341,0.604790708891508
"majority-vote",0.661899929794878,0.824401658072178,0.734267397754491
"majority-vote",0.988807928108016,0.64011727072643,0.777141924830017
"majority-vote",0.96076720505618,0.750429975910564,0.842671456644927
"majority-vote",1,0.674281600998458,0.805457816171844
"majority-vote",0.919290765269866,0.779569892473118,0.843684736316238
"majority-vote",0.852216546905527,0.746582906215091,0.795910087499032
"majority-vote",0.371679912657139,0.737732662378803,0.49431639353536
"majority-vote",0.989734299516908,0.447846393357551,0.616659556737129
"majority-vote",0.791547049441786,0.752927001661579,0.771754172476398
"majority-vote",0.811550938934249,0.892430259206575,0.850071134097779
"majority-vote",1,0.477798043227024,0.646635100671362
"majority-vote",0.920656417074482,0.856520404592213,0.887431117972284
"majority-vote",0.941600063238958,0.581261374267296,0.718799141259629
"majority-vote",0.812115800865801,0.936425859538822,0.869852007637994
"majority-vote",0.905506381107756,0.863089793675193,0.883789444741706
"majority-vote",1,0.676325713845917,0.806914441817222
"majority-vote",0.985781990521327,0.665837383234168,0.794820539693255
"majority-vote",0.658291873963516,0.759873279666452,0.705444501955306
"majority-vote",0.960783679280387,0.50811598321226,0.66470100894899
"majority-vote",1,0.308567433109558,0.471611053893198
"majority-vote",0.986296296296296,0.716554112390594,0.830060777554387
"majority-vote",0.962098266868585,0.321397063867404,0.48183355360735
"majority-vote",0.5824397315223,0.828656462585034,0.684067393290034
"majority-vote",0.782069885072941,0.853824771334653,0.816373643834127
"majority-vote",0.843897410522844,0.653506392684327,0.73659803903961
"majority-vote",0.96978021978022,0.335117341857785,0.498108325117956
"majority-vote",0.991053187742163,0.485228387987629,0.651484308419153
"majority-vote",0.926904402027077,0.794087396694535,0.855370843878668
"majority-vote",0.929832713754647,0.540757492572481,0.683826132716647
"majority-vote",0.791166023318771,0.823006358854248,0.806772158032107
"majority-vote",0.802568741288491,0.781007880384826,0.791641532109143
"majority-vote",0.916429849148859,0.52860119018062,0.670471285103904
"majority-vote",0.994358974358974,0.360182806659527,0.52881500036478
"majority-vote",1,0.495971022441611,0.663075708020232
"majority-vote",0.887895050685748,0.658829403489567,0.756400230209751
"majority-vote",0.993104982206406,0.506462484412399,0.670820656978743
