"","bcubed.precision","bcubed.recall","bcubed.f1"
"majority-vote",0.627317206506996,0.615685982422731,0.621447175709182
"majority-vote",0.730047360283959,0.480503780156415,0.579555054868717
"majority-vote",0.80653586077304,0.359504480664604,0.497329715723385
"majority-vote",0.755812515887808,0.966516686053269,0.848276168470212
"majority-vote",0.979021896113073,0.792045510205414,0.875663901263966
"majority-vote",0.716440340618786,0.905373894754831,0.799902192739206
"majority-vote",0.941951744347261,0.537312969931034,0.684289815611363
"majority-vote",0.316040851044078,0.826293286614973,0.457208490764279
"majority-vote",0.771241093390719,0.599065136300987,0.674336350112019
"majority-vote",0.706444122375443,0.745935808369157,0.72565305583864
"majority-vote",0.984472317383734,0.463090042965156,0.629885579016243
"majority-vote",0.762876242067014,0.921523190320997,0.83472855059446
"majority-vote",0.552732499078693,0.87878280134195,0.678626087741264
"majority-vote",1,0.578269256165245,0.732789102881315
"majority-vote",0.771724476679003,0.946627080029934,0.850274537936145
"majority-vote",0.962964011488553,0.719622489463152,0.823696801108124
"majority-vote",0.752466852987248,0.88296364217109,0.812508847173372
"majority-vote",0.672608696120177,0.76125007626945,0.714189473999112
"majority-vote",0.977212991721897,0.752319020687677,0.850144334606735
"majority-vote",0.929315181671502,0.80963805752732,0.865358448471928
"majority-vote",0.482838719618158,0.558072952150418,0.517736974189183
"majority-vote",0.9533884984081,0.698521336100728,0.806293653344714
"majority-vote",1,0.423952250903794,0.595458521358013
"majority-vote",0.923723531498925,0.880132698199221,0.901401420782085
"majority-vote",0.953084625240247,0.491404399941901,0.648464571478453
"majority-vote",0.371856384981378,0.801321227985521,0.507981761250914
"majority-vote",0.735827528305793,0.934952782388734,0.823524182735606
"majority-vote",0.700533709937787,0.543866079170226,0.612337812148835
"majority-vote",0.939999825933798,0.164081566817142,0.279393612209624
"majority-vote",0.995877410912862,0.431913597039959,0.602515343439435
"majority-vote",0.943492691806851,0.821751614497048,0.878424181842362
"majority-vote",0.770008128982449,0.680803262443835,0.722663261975305
"majority-vote",0.725040260078378,0.888349439631125,0.798429677425861
"majority-vote",0.648543937828151,0.841147783929841,0.732394881595381
"majority-vote",0.796663487619129,0.51956400379569,0.628945488534525
"majority-vote",0.974316540075659,0.366080625723583,0.532198094332818
"majority-vote",0.877595863582456,0.337454496922585,0.487467318677168
"majority-vote",0.677441246870441,0.780986105986386,0.725537957569898
"majority-vote",0.999999355978302,0.475145804701438,0.644201684501728
"majority-vote",0.969272631664934,0.447837300664964,0.612622110776652
"majority-vote",0.857085822491793,0.410259906543104,0.554904540062123
"majority-vote",0.696747085227304,0.7617771166241,0.72781238038692
"majority-vote",0.618787866659519,0.62408654256805,0.621425909841692
"majority-vote",0.9658258814033,0.719960711358414,0.82496407506045
"majority-vote",0.354398858167369,0.943490348333537,0.515254923866424
"majority-vote",0.988870489029176,0.558997349760349,0.71424183482721
"majority-vote",0.726055068027821,0.514348416825179,0.602135158967671
"majority-vote",1,0.922626785993488,0.959756508870998
"majority-vote",0.709452301870672,0.497945957450394,0.58517378668249
"majority-vote",0.624276987020243,0.588962947184466,0.606106020365867
"majority-vote",0.982450093850576,0.976122310878503,0.979275980419912
"majority-vote",1,0.0123326356908245,0.024364789311388
"majority-vote",0.983911095995879,0.182882501282384,0.308435224010413
"majority-vote",0.915574110505718,0.34322851882716,0.499285810980414
"majority-vote",0.91138392158295,0.92893199828373,0.920074296309999
"majority-vote",0.897598207479228,0.423911871815426,0.575860210576345
"majority-vote",0.967291116641052,0.857586024691895,0.909141031635769
"majority-vote",0.685592738434249,0.812685388433913,0.743748695185931
"majority-vote",0.974176924367844,0.713409408761495,0.823646138865822
"majority-vote",0.842592597420557,0.749156741318541,0.793132322005852
"majority-vote",0.667453447584128,0.457238107658183,0.542700173929102
"majority-vote",0.784892179727064,0.882543035644214,0.830858219334761
"majority-vote",0.515891851555763,0.914371105802132,0.659622204930411
"majority-vote",0.765252293287215,0.703148237174633,0.732886960820573
"majority-vote",0.923551079423556,0.860347589243923,0.890829685207629
"majority-vote",0.890193584454599,0.776353237463026,0.829385243992027
"majority-vote",0.789214117472708,0.637812139402877,0.705481545678535
"majority-vote",0.774383247797922,0.78421931783015,0.779270245949407
"majority-vote",0.755587776432456,0.748001706363849,0.751775604373139
"majority-vote",0.844903659893084,1,0.915932553293377
"majority-vote",0.31421568627451,1,0.478179783662812
"majority-vote",0.31421568627451,0.623364689470391,0.417822234271099
"majority-vote",0.993313870673817,0.80258685189038,0.887822631158442
"majority-vote",0.860526013429545,0.962904758933879,0.908841296391767
"majority-vote",0.890516557801884,0.968193140901332,0.927731774062816
"majority-vote",0.961279293428085,0.859552214064765,0.907574085356679
"majority-vote",1,0.447144298756895,0.617967813079863
"majority-vote",0.963928533794179,0.884279362477775,0.922387693567379
"majority-vote",0.516183840796314,0.825776666318938,0.635268428542328
"majority-vote",0.907768225937019,0.388530402421044,0.544157875990479
"majority-vote",0.729353793769227,0.543284069723989,0.622716498878849
"majority-vote",0.880298101411835,0.584560498148521,0.702576339907403
"majority-vote",0.989751019118588,0.643322558531928,0.77979237021887
"majority-vote",0.68828547680476,0.963601456670602,0.803000344168748
"majority-vote",0.631118578464932,0.352739424718499,0.452545801480605
"majority-vote",0.506728107055901,0.993322122332194,0.67110317892684
"majority-vote",0.276566191739853,0.949669004973428,0.428378407050876
"majority-vote",0.981520765525005,0.786783979472406,0.873429555645621
"majority-vote",0.658875693739147,0.918040126256831,0.767161211014278
"majority-vote",0.284413232007366,0.904745111732665,0.43277917146248
"majority-vote",0.880522336536056,0.404528313205772,0.554369145855063
"majority-vote",0.730464480382841,0.582085654465852,0.647888235029925
"majority-vote",0.691966983819421,0.994115324762519,0.815968448685202
"majority-vote",0.15611192682449,0.865373527785389,0.264507200246094
"majority-vote",0.197010206256951,0.793301267795887,0.315634929993812
"majority-vote",0.430991960245295,0.967762598137948,0.596384686253546
"majority-vote",0.330333688155094,0.718878416952011,0.452663017612844
"majority-vote",0.898331422089745,0.632630942556992,0.742424853032013
"majority-vote",0.894850707204146,0.955942061222313,0.924388126130682
"majority-vote",0.925060413270794,0.956255729721475,0.940399436664322
"majority-vote",0.997775828682539,0.906941259043216,0.950192626652723
"majority-vote",0.876743577503089,0.907767157440518,0.891985696213098
"majority-vote",0.658864536435294,0.724138102915574,0.68996096163134
"majority-vote",0.887038742562785,0.559214237960626,0.685972234656038
"majority-vote",0.755597385430393,0.851265552594202,0.80058356021065
"majority-vote",0.80807759342002,0.7612724346213,0.783977042614973
"majority-vote",0.832769972397711,0.855448672717973,0.8439569952957
"majority-vote",0.918925834446528,0.69063732307689,0.788592203346471
"majority-vote",1,0.954694061911932,0.976821979986089
"majority-vote",0.663482553618487,0.635218885452055,0.649043168117297
"majority-vote",0.691272993294158,0.555658819646377,0.616091323552698
"majority-vote",0.371427883520183,0.835710516037483,0.514284341084842
"majority-vote",0.73894846397373,0.661774679949727,0.698235601184983
"majority-vote",0.879264049396749,0.824208711463556,0.85084670074035
"majority-vote",0.958153899861792,0.758675098699564,0.846825752775795
"majority-vote",0.836013809701038,0.722498366341143,0.775122095332655
"majority-vote",0.446500069298996,0.865147404691967,0.58901249582473
"majority-vote",0.9650842911844,0.670035165564755,0.790939659067228
"majority-vote",0.962201515572819,0.823009624547613,0.887179214014212
"majority-vote",0.755144851739999,0.964794358642115,0.847192143208975
"majority-vote",0.540500629194139,0.64146354336333,0.586669980093875
"majority-vote",0.899577205848201,0.849337702612784,0.873735861752456
"majority-vote",0.616509149028267,0.621360600206145,0.618925367729043
"majority-vote",0.976631344885478,0.459217398032246,0.624698259126785
"majority-vote",0.98639279995944,0.586309631104872,0.735462204731686
"majority-vote",0.501817053670877,0.720056887940174,0.591446979391562
"majority-vote",0.98459118734849,0.533079587590214,0.691672361046671
"majority-vote",1,0.89320969602596,0.943592986979623
"majority-vote",0.532182824431837,0.887190714637735,0.665290210546143
"majority-vote",1,0.80764300564672,0.893586845548377
"majority-vote",1,0.877740799780662,0.934890268010569
"majority-vote",1,0.703500652094387,0.825947029993162
"majority-vote",0.917769994042978,0.841335618760684,0.877892242737468
"majority-vote",0.922726174704136,0.910260110978048,0.916450752249837
"majority-vote",0.973960394056103,0.804800405680694,0.881336850204104
"majority-vote",0.888471640210962,0.992779506915504,0.937733846142077
"majority-vote",0.8674887021042,0.538788939120466,0.664724096869918
"majority-vote",0.930126828495793,0.70295312811155,0.800739193431667
"majority-vote",0.787523222305531,0.868766750073808,0.826152427243378
"majority-vote",1,0.668833550912083,0.801558130883142
"majority-vote",0.857496344989125,0.718251318595104,0.781721457962358
"majority-vote",0.990938325634365,0.71482607056141,0.830535038791626
"majority-vote",0.637437181941837,0.834232758654453,0.722676959135004
"majority-vote",0.304173592692427,0.969396584628122,0.463052365925319
"majority-vote",0.852899082699534,0.675742733155128,0.754055464493039
"majority-vote",0.420618526889462,0.745318878953151,0.537756019074831
"majority-vote",1,0.470247569234446,0.639684879029322
"majority-vote",0.970912701231744,0.90356959690156,0.936031456741112
"majority-vote",1,0.904712458184427,0.949972741866559
"majority-vote",0.984988866364721,0.84639616853192,0.910448416528368
"majority-vote",0.976224422748822,0.911304119127847,0.942647825351226
"majority-vote",0.711903611075295,0.801067545658676,0.75385822912936
"majority-vote",0.982912454219918,0.898979235844206,0.939074115329417
"majority-vote",1,0.224961628200486,0.367295796082957
"majority-vote",0.591503403796709,0.942819181089039,0.726940684146313
"majority-vote",1,0.595237348024826,0.746268069465438
"majority-vote",0.997744140068682,0.703563667676745,0.825219896592329
"majority-vote",1,0.656838190634292,0.792881518964544
"majority-vote",0.945280294982577,0.773408489752373,0.850750655765638
"majority-vote",0.934072048279891,0.900299241802631,0.916874747660912
"majority-vote",0.968236415461821,0.802249203668672,0.877461962835637
"majority-vote",0.766739286705351,0.496783653215436,0.602923036659962
"majority-vote",0.87972046611434,0.789576695986093,0.832214652724744
"majority-vote",0.740612437231419,0.722991636816962,0.731695965781034
"majority-vote",0.860392652083519,0.766657878369086,0.810825223758982
"majority-vote",0.963242443940357,1,0.981277118283024
"majority-vote",0.62623240166308,0.759247179646279,0.68635466185141
"majority-vote",0.655336095250524,1,0.791786147998354
"majority-vote",1,0.650548810623015,0.788281820490312
"majority-vote",0.847279467094971,0.780732839958913,0.812646073641797
"majority-vote",0.657061001826025,0.785706753451637,0.715648467573427
"majority-vote",0.988970043249815,0.922910350387211,0.954798942628234
"majority-vote",1,0.98932194087053,0.99463231219136
"majority-vote",0.760817243625095,0.930477625086027,0.837137787229568
"majority-vote",0.667131564260671,0.887476053955569,0.761688391568029
"majority-vote",0.827222154434601,0.376859011189432,0.517815795237771
"majority-vote",0.91020939699709,0.574491641884304,0.704394591564846
"majority-vote",0.570056696783139,0.913357379124916,0.701982674942241
"majority-vote",0.975975034078861,0.845821931397867,0.906249273617232
"majority-vote",0.67117244441083,0.905452100043468,0.770905795448512
"majority-vote",0.677976453033077,0.490882438816506,0.569455794956419
"majority-vote",0.912765593158741,0.68844311695598,0.784891046413751
"majority-vote",0.581004965246616,0.892429095101118,0.70380582251767
"majority-vote",0.583182200053976,0.650211960652619,0.614875688235089
"majority-vote",0.686133242210165,0.888612527237714,0.774355589595837
"majority-vote",0.376110194414732,0.835683897162354,0.518750231934102
"majority-vote",0.812013050105071,0.556849515706049,0.660649337620052
"majority-vote",0.487885105592042,0.735614945946183,0.586670307249799
"majority-vote",1,0.664419720496381,0.798380014745597
"majority-vote",0.970335076484555,0.442292148022963,0.607621852155655
"majority-vote",0.900739902478093,0.793052111547714,0.843472723569766
"majority-vote",0.954481612827678,0.807088224616936,0.874618597516514
"majority-vote",0.897409652873064,0.903285698235309,0.900338088171991
"majority-vote",0.705767020432288,0.709408239252114,0.707582945449084
"majority-vote",0.733103280295812,0.830542282450586,0.77878681229967
"majority-vote",0.883564713848528,0.758583661836628,0.816318142775857
"majority-vote",0.581330981209932,0.984969824488997,0.731141135149778
"majority-vote",0.985064471159419,0.98477812912515,0.98492127933053
"majority-vote",0.656363399263839,0.476104107006571,0.551887464051776
"majority-vote",0.747498629191113,0.548741856712843,0.63288223155071
"majority-vote",0.860516097896774,0.621118681222917,0.721476886786224
"majority-vote",0.66644811881781,0.750422899695246,0.705947010398384
"majority-vote",0.889400911344114,0.757771065898837,0.818326545026233
"majority-vote",0.733840190349338,0.756031567512548,0.744770610605733
"majority-vote",0.999615686650445,0.734078199330718,0.846511704531755
"majority-vote",0.820021788852584,0.71535450863158,0.764120541385237
"majority-vote",0.928475323521488,0.774654782527626,0.844618796027629
"majority-vote",0.924494680131261,0.608027022243288,0.733585366613738
"majority-vote",0.54790160919802,0.614693649297955,0.579379000822441
"majority-vote",0.82239136367518,0.76787889836119,0.79420082162891
"majority-vote",0.660613238379573,0.693614422454149,0.676711727365129
"majority-vote",0.906613382872046,0.723871903184941,0.805001996061666
"majority-vote",0.996824799909455,0.87193677673806,0.930207698902784
"majority-vote",0.853438950126314,0.996547107127889,0.919457866748426
"majority-vote",0.684391518563322,0.803612709122937,0.739226021136541
"majority-vote",0.648509336570922,0.796496982504526,0.714925219199379
"majority-vote",0.511294644085907,0.534116685506085,0.522456554441133
"majority-vote",0.938656396527308,0.919823271440604,0.929144410125777
"majority-vote",0.732956793831334,0.404366963231732,0.521194622131169
"majority-vote",0.987415472314858,0.632589330219251,0.771144000687775
"majority-vote",0.950610415288908,0.837281354664353,0.890354091502918
"majority-vote",1,1,1
"majority-vote",0.38443922116136,0.592425642895937,0.466291011440398
"majority-vote",0.517002217008155,0.74637604988427,0.610867042158504
"majority-vote",0.999891439545364,0.530922138751733,0.693571717848905
"majority-vote",0.620556531203243,0.572745367068621,0.595693141468309
"majority-vote",0.62059681484021,0.871776985989547,0.725048939421617
"majority-vote",0.503610023693426,0.963663315191784,0.6615134237564
"majority-vote",0.488260484992986,0.808751777128568,0.608909486011823
"majority-vote",0.898492084456334,0.729578237675734,0.80527267481272
"majority-vote",0.513290500346388,0.655562291557488,0.575767793810326
"majority-vote",0.882237076053536,0.786180574307016,0.831443674761918
"majority-vote",1,0.449543552851143,0.620255323776818
"majority-vote",0.843350070498991,0.770359688129518,0.805204150027294
"majority-vote",0.50691828205775,0.640618503872455,0.565979645130404
"majority-vote",0.995838135063492,0.810803691312275,0.893845392120433
"majority-vote",0.924184953852088,0.340706548777225,0.49787015788193
"majority-vote",0.774852740158131,0.400283757317299,0.527872237590147
"majority-vote",0.526576735736673,0.306175037697106,0.387209387137776
"majority-vote",0.77006788243609,0.846859007080026,0.806639961933227
"majority-vote",0.894280292244393,0.989809698104572,0.939623171527325
"majority-vote",0.957682283295993,0.545634182848598,0.695188540593727
"majority-vote",0.984758861948343,0.807860237642877,0.887581225053253
"majority-vote",1,0.856358237121021,0.92262174401114
"majority-vote",0.970525435923477,0.506863103168331,0.665936578143986
"majority-vote",0.916713133664933,0.841642254772652,0.877575163554423
"majority-vote",0.860742923506187,0.62106089739875,0.721517605719105
"majority-vote",0.973924941062986,0.627558423135548,0.763285856012301
"majority-vote",0.734710974616957,0.703102788193813,0.718559452039078
"majority-vote",0.510608929847392,0.911523960487064,0.654555248891116
"majority-vote",0.687506329749727,0.817163837166925,0.746748786341766
"majority-vote",0.249952415990395,0.855863003308758,0.386909102008004
"majority-vote",0.585888965011106,0.899087736468517,0.709459728019774
"majority-vote",0.389935362533821,0.874332364578776,0.539336882917544
"majority-vote",0.0402029598168731,0.379079795941979,0.0726961917432593
"majority-vote",0.0712341961697646,0.995726965524381,0.132956685847991
"majority-vote",0.7634502341727,0.999517584953816,0.865678801409774
"majority-vote",0.66753466138073,0.975743057556453,0.792735523660372
"majority-vote",0.190706975459898,0.989947836251198,0.319805511046751
"majority-vote",0.933229449310715,0.505992772001084,0.656197978293267
"majority-vote",0.961227971997403,0.301146210115174,0.458612295665435
"majority-vote",0.874398286972026,0.594088152348118,0.707489900913305
"majority-vote",0.79499947090795,0.793223323628205,0.79411040411423
"majority-vote",0.989951973847462,0.615885830277587,0.75935115212981
"majority-vote",0.983568641319059,0.624691627655726,0.764089130733064
"majority-vote",0.955441141202647,0.732445807623528,0.829212950300485
"majority-vote",0.950427357581492,0.479704608727639,0.637597640544066
"majority-vote",0.462507378345469,0.949136571597426,0.62194531055666
"majority-vote",0.847143789303738,0.56260426234913,0.676158702437752
"majority-vote",0.798029845733623,0.633566179999862,0.706351109948467
"majority-vote",1,0.540117371317481,0.701397674458333
